vehicle_id,month,miles,fsd_miles,manual_miles,heat_index,tread_loss_mm,ntwr_obs_mm_per_1k
TX-01978,2025-01,1508.6377790564893,992.8994473647359,515.7383316917534,0.55,0.3166521005621673,0.2098927290288351
TX-01978,2025-02,3844.624254760994,2530.3126773509725,1314.3115774100215,0.6,0.8169830083125746,0.21250009212236098
TX-01978,2025-03,1453.4423515149958,956.5729611373503,496.8693903776456,0.75,0.32022558942920065,0.22032218140293866
TX-01978,2025-04,3708.7313945087935,2440.8757378030264,1267.8556567057672,0.9,0.8461258191612693,0.22814427068351636
TX-01978,2025-05,4042.5523348555084,2660.577664793295,1381.9746700622136,1.05,0.9539063594202039,0.23596635996409407
TX-01978,2025-06,2368.696664896217,1558.9412131923573,809.7554517038598,1.2,0.5774608866660746,0.24378844924467175
TX-01978,2025-07,3996.429506809207,2630.2222467374695,1366.2072600717374,1.25,0.9847034947825973,0.24639581233819768
TX-01978,2025-08,1010.9416077361352,665.3441784196771,345.59742931645815,1.22,0.24751024356199608,0.24483139448208213
TX-01978,2025-09,5102.167154017426,3357.9557783278347,1744.211375689591,1.1,1.2172430135962387,0.23857372305762
TX-01978,2025-10,2679.266410795548,1763.3405284902315,915.9258823053165,0.9,0.6112592812577928,0.22814427068351636
TX-01978,2025-11,3390.8483581778705,2231.6632313410764,1159.185126836794,0.7,0.7382379342154657,0.21771481830941278
TX-01978,2025-12,2564.4314579205256,1687.762704024591,876.6687538959347,0.58,0.5422673594738886,0.21145714688495057
TX-03881,2025-01,1460.8871473115898,664.0120617532953,796.8750855582946,0.55,0.2734484549089876,0.18717972528692822
TX-03881,2025-02,2180.6440350691005,991.1607096693986,1189.483325399702,0.6,0.41324281542576696,0.18950493926564776
TX-03881,2025-03,1750.8436921052382,795.8050229560862,955.038669149152,0.75,0.3440067862183541,0.19648058120180661
TX-03881,2025-04,2788.2796971028815,1267.3472785528213,1520.9324185500602,0.9,0.5672928562248224,0.2034562231379654
TX-03881,2025-05,1469.7162934579019,668.0251434940188,801.691149963883,1.05,0.3092751407621751,0.2104318650741242
TX-03881,2025-06,2704.6417134199987,1229.3315905591517,1475.310122860847,1.2,0.5880094122706623,0.21740750701028302
TX-03881,2025-07,1295.0259628067943,588.6237422033919,706.4022206034024,1.25,0.2845595785589398,0.21973272098900265
TX-03881,2025-08,697.950184367229,317.2369212609196,380.7132631063094,1.22,0.15238876301070292,0.21833759260177088
TX-03881,2025-09,779.6941909342157,354.3917462837882,425.3024446504275,1.1,0.16588545861763404,0.2127570790528438
TX-03881,2025-10,2619.6238551058464,1190.6887128468536,1428.9351422589928,0.9,0.5329787756019522,0.20345622313796538
TX-03881,2025-11,2989.030731765345,1358.5939629189877,1630.4367688463574,0.7,0.580336359366993,0.194155367223087
TX-03881,2025-12,615.6559061602359,279.83198314281475,335.8239230174211,0.58,0.11609722241779882,0.18857485367415994
TX-00053,2025-01,549.9621212031718,0.0,549.9621212031718,0.55,0.11804144198176862,0.21463558567183708
TX-00053,2025-02,354.49229590548333,0.0,354.49229590548333,0.6,0.07703183746767638,0.2173018662391891
TX-00053,2025-03,401.8052541334733,0.0,401.8052541334733,0.75,0.09052700821078344,0.22530070794124513
TX-00053,2025-04,556.02335073173,0.0,556.02335073173,0.9,0.1297199973168719,0.23329954964330113
TX-00053,2025-05,759.9771426808155,0.0,759.9771426808155,1.05,0.18338126198812177,0.2412983913453572
TX-00053,2025-06,1623.339341795195,0.0,1623.339341795195,1.2,0.4046940062065511,0.24929723304741322
TX-00053,2025-07,808.3525099926813,0.0,808.3525099926813,1.25,0.20367533865707066,0.25196351361476527
TX-00053,2025-08,1446.5909169139147,0.0,1446.5909169139147,1.22,0.3621739198384296,0.25036374527435407
TX-00053,2025-09,162.0696359287931,0.0,162.0696359287931,1.1,0.039539265556380244,0.24396467191270924
TX-00053,2025-10,1115.6056143176422,0.0,1115.6056143176422,0.9,0.26027028739984426,0.23329954964330116
TX-00053,2025-11,864.9930875234124,0.0,864.9930875234124,0.7,0.19257724072315072,0.2226344273738931
TX-00053,2025-12,399.09083750551645,0.0,399.09083750551645,0.58,0.08629754853105,0.21623535401224828
TX-02552,2025-01,195.838394345225,0.0,195.838394345225,0.55,0.047890984823855016,0.24454338989030175
TX-02552,2025-02,956.9308471208701,0.0,956.9308471208701,0.6,0.23691808359641187,0.24758119597589553
TX-02552,2025-03,854.273599384601,0.0,854.273599384601,0.75,0.2192874320431906,0.256694614232677
TX-02552,2025-04,1013.0520818069141,0.0,1013.0520818069141,0.9,0.26927738067444573,0.2658080324894584
TX-02552,2025-05,633.4481674530622,0.0,633.4481674530622,1.05,0.1741484891687429,0.2749214507462398
TX-02552,2025-06,2041.9579727483067,0.0,2041.9579727483067,1.2,0.57998726529924,0.2840348690030212
