vehicle_id,model,metro,has_fsd,fsd_engagement,annual_miles,fsd_miles,manual_miles,wheel_inch,aggression,alignment_quality,heat_share,ntwr_manual_mm_per_1k,ntwr_fsd_mm_per_1k,ntwr_blended_mm_per_1k,ntwr_front_manual,ntwr_rear_manual,ntwr_front_fsd,ntwr_rear_fsd,wai_manual,wai_fsd,lsd_manual_min_per_100mi,lsd_fsd_min_per_100mi,lai_manual_events_per_100mi,lai_fsd_events_per_100mi,ssp_manual,ssp_fsd,tps_hours_overpressure,tread_loss_mm_year,miles_to_replace,life_if_100pct_manual,life_if_100pct_fsd,tci_manual_usd_per_1k,tci_fsd_usd_per_1k,tci_blended_usd_per_1k,tire_set_cost_usd,usable_tread_mm
TX-00001,Model 3,Austin,False,0.0,7125.425344187488,0.0,7125.425344187488,20,0.16559292704703069,0.8049344440687861,0.4279068929251181,0.22930401631487063,0.20615292155459022,0.22930401631487063,0.2224248958254245,0.23618313680431677,0.20409139233904433,0.19572158372392795,0.05286972951523429,0.03812058305243611,5.950711027951307,3.7132783461634724,8.618058171171747,7.455272205370949,1.357775988887101,1.1189883063456751,374.6378164080437,1.6338886493739604,20785.11936782396,27910.544712011455,31044.915355736306,30.81272719231074,27.70179883389806,30.81272719231074,860.0,6.4
TX-00002,Model Y,Austin,False,0.0,11758.175091380963,0.0,11758.175091380963,20,0.09671400562907882,0.6218175585914572,0.4180079200818567,0.21177751815586696,0.18707497109271215,0.21177751815586696,0.20542419261119094,0.21813084370054298,0.18520422138178502,0.1776089775554209,0.0768476021171333,0.050990342865242004,15.704390704932816,11.788943466388732,6.603870779975207,6.772665701481364,1.384643068314918,1.3083336172815747,475.66161419846617,2.4901171388947945,19406.60603114801,31164.781122528973,35279.9733788499,31.445752695871157,27.777798738008777,31.445752695871157,980.0,6.6
TX-00003,Model S,DFW,True,0.09009350133188139,7321.017778980144,659.576125021275,6661.441653958869,19,0.6618416013936886,0.8937250887603596,0.3955185241147917,0.2798855336888953,0.2393555619772669,0.2762340466285126,0.27148896767822844,0.28828209969956214,0.23696200635749423,0.22724417054121718,0.06071356673641727,0.03117486431667945,24.00343275393651,17.06905972070103,24.965764262809095,22.183850183071307,1.6886914122628274,1.459117958295908,420.26977379977734,2.0223143665269707,17295.788451081833,24295.64654655746,28409.617657624513,57.62349223006668,49.2790862894373,56.871715482340825,1400.0,6.8
TX-00004,Model 3,DFW,False,0.0,27583.78941003956,0.0,27583.78941003956,18,0.21012245451900496,0.9116159962434055,0.3625163154858514,0.1754223875827969,0.14635367619667858,0.17542238758279688,0.17015971595531298,0.18068505921028083,0.1448901394347118,0.13894818018112662,0.05842485200327524,0.030784763880328372,16.022723749866604,10.972346127265709,13.027459549022186,10.857401460324924,1.196638248213996,1.0470485624997474,337.5227244328152,4.838814196890208,8899.581316968079,36483.370727007634,43729.683915826674,23.572383331438335,19.66627523892868,23.57238333143833,860.0,6.4
TX-00005,Model Y,DFW,False,0.0,14542.299526744184,0.0,14542.299526744184,18,0.24435346338137992,0.7581366198180431,0.2944794925277761,0.2516846371591469,0.23665469460064978,0.2516846371591469,0.2441340980443725,0.25923517627392134,0.2342881476546433,0.22467996705385687,0.08979281118965914,0.06340724039207543,12.079536842843842,9.793895617860601,11.144762968991941,8.802298140821264,1.3725534661612324,1.1447439352030033,268.1961901059344,3.6600733798482437,11680.993537530707,26223.29306427489,27888.734728619573,37.371355214539996,35.13963647100557,37.371355214539996,980.0,6.6
TX-00006,Cybertruck,DFW,False,0.0,14107.829610409413,0.0,14107.829610409413,21,0.42567538706995667,0.6035024987117432,0.5164781960016733,0.2881475918435045,0.2667832105556401,0.2881475918435045,0.27950316408819936,0.2967920195988097,0.2641153784500837,0.2532839801015247,0.11129300671528736,0.08410363338991297,22.137276917112843,19.136489931998646,16.763119176162267,13.568937086191271,1.58565829200397,1.2649635135404678,426.22721187472655,4.065137128377959,10879.365159937248,24987.19477034666,26988.20508608571,72.03689796087612,66.69580263891001,72.03689796087612,1800.0,7.2
TX-00007,Model 3,Houston,True,0.5722453014482651,14642.31141376945,8378.993908871873,6263.317504897577,20,0.21906055372444028,0.8091629372158051,0.30111760078363614,0.21729388653779727,0.21317785812076903,0.2149385086155253,0.21077506994166334,0.2238127031339312,0.21104607953956134,0.2023910584998581,0.0795212218030911,0.0695125977848912,16.74221966056487,17.13369732594104,15.924898461599055,11.480853799035236,1.2660200805564443,1.1105171803798624,368.77950734543106,3.14719657795969,15133.64656241667,29453.198624098197,30021.8796474364,29.198866003516507,28.64577468497834,28.88236209521121,860.0,6.4
TX-00008,Model 3,Other TX,True,0.5459601764649731,16681.026005411622,9107.175901531335,7573.850103880288,19,0.0863538792244573,0.9607672830634716,0.46195145794209436,0.18991346305159942,0.1691555545990588,0.1785804716898066,0.18421605916005143,0.19561086694314742,0.1674639990530682,0.1605962835363464,0.05465225044420925,0.036259853819240684,9.975148987943138,10.340479098483591,8.404526925427094,6.566723308819113,0.9137057019511128,0.8502655329374011,461.97403491545464,2.9789054923163376,19157.159096466534,33699.559247472214,37834.99758650912,25.51962159755867,22.73027764924852,23.996750883317763,860.0,6.4
TX-00009,Model Y,DFW,False,0.0,19011.496647512384,0.0,19011.496647512384,20,0.4165746706106724,0.6914210164567834,0.41835714037850086,0.22438453784626572,0.20494897070529344,0.22438453784626572,0.21765300171087773,0.2311160739816537,0.2028994809982405,0.19457855278760558,0.08529708575255743,0.0635447813796343,11.29440823234754,7.314682851906539,15.991482816515106,10.784536332413419,1.611860675363561,1.4134251547331538,353.06669034856253,4.265885889017897,10402.294798856828,29413.791446369214,32203.138065477164,33.31770410444552,30.43181686230115,33.31770410444552,980.0,6.6
TX-00010,Model 3,DFW,True,0.20818014857579972,7810.319017740141,1625.9533735375367,6184.365644202604,21,0.3754640374292278,0.731913279264687,0.32857732448767407,0.24155485819595307,0.21011540477414686,0.2350097881114595,0.23430821245007447,0.24880150394183168,0.2080142507264054,0.19948356529257502,0.10348012924421829,0.07573727882502825,14.911679855892396,11.226429096692183,19.6496127771217,13.61861773301472,1.6039581029521701,1.2441907053032737,302.4592925695394,1.835501417442013,19422.58924293466,26495.016692267145,30459.451589850647,32.45893407008119,28.234257516525986,31.57944027747737,860.0,6.4
