vehicle_id,mode,miles,ntwr,wai,lsd,lai,ssp,life_miles,tci,ntwr_front,ntwr_rear
TX-00003,Manual,6661.441653958869,0.2798855336888953,0.06071356673641727,24.00343275393651,24.965764262809095,1.6886914122628274,24295.64654655746,57.62349223006668,0.27148896767822844,0.28828209969956214
TX-00007,Manual,6263.317504897577,0.21729388653779727,0.0795212218030911,16.74221966056487,15.924898461599055,1.2660200805564443,29453.198624098197,29.198866003516507,0.21077506994166334,0.2238127031339312
TX-00008,Manual,7573.850103880288,0.18991346305159942,0.05465225044420925,9.975148987943138,8.404526925427094,0.9137057019511128,33699.559247472214,25.51962159755867,0.18421605916005143,0.19561086694314742
TX-00010,Manual,6184.365644202604,0.24155485819595307,0.10348012924421829,14.911679855892396,19.6496127771217,1.6039581029521701,26495.016692267145,32.45893407008119,0.23430821245007447,0.24880150394183168
TX-00012,Manual,10389.521421541416,0.25071971912314667,0.05879885476537901,16.930972453262104,17.565693401697374,1.539760727145505,27121.919343966823,55.30582039481176,0.24319812754945225,0.2582413106968411
TX-00013,Manual,4806.120794687051,0.22065384900441892,0.06508462888556865,18.20544480800462,11.401418638567488,1.4408225283257887,29004.7059177827,29.650360959968793,0.21403423353428636,0.2272734644745515
TX-00015,Manual,3472.4524984825066,0.22100348064114603,0.06085400026775916,16.75937823878632,12.30105493293365,1.534436321626498,29863.78305379152,32.815668337624714,0.21437337622191163,0.22763358506038042
TX-00016,Manual,7655.183858465636,0.2396407242214402,0.08647665253519939,8.675827942241805,8.719049061115228,1.2236470648843596,27541.228734984394,35.58301662681991,0.23245150249479699,0.2468299459480834
TX-00019,Manual,12297.2865621938,0.2446707248404376,0.06835283717513983,13.432504591711108,13.46890404809302,1.3618431895960228,27792.45455063997,50.37338452597245,0.23733060309522444,0.2520108465856507
TX-00020,Manual,7968.683409169142,0.1925912837930739,0.06559839615159077,4.96417475015975,1.0,1.3460940491091244,33230.995058303684,25.8794537596943,0.18681354527928165,0.19836902230686612
TX-00021,Manual,14593.899147711058,0.1959180870050358,0.06892520769043498,13.154027971700192,10.740829246816766,1.2822847900012793,32666.713409852237,26.326492941301687,0.19004054439488471,0.20179562961518688
TX-00022,Manual,12805.611374832079,0.22060769904438182,0.0553130916747638,11.152136202204249,9.700578728259401,1.2597608886238478,29917.3602217401,32.75690076719609,0.21398946807305036,0.22722593001571328
TX-00025,Manual,5605.728654236641,0.2744826813835968,0.11907863802609542,11.100771150858732,15.871395350293115,1.5204346894741196,23316.589475661054,36.88361031092082,0.2662482009420889,0.28271716182510476
TX-00026,Manual,5918.113386223105,0.20854398515950484,0.07066240561882553,16.23094125557676,15.551825755060289,1.4325924995765695,31647.99979703078,30.96562203883557,0.2022876656047197,0.21480030471428999
TX-00027,Manual,3058.3165220438405,0.24045000793460708,0.048537153383717654,19.24402642538607,16.58099112048448,1.560948277929091,26616.75936288822,32.31046981621282,0.23323650769656887,0.2476635081726453
TX-00028,Manual,6907.713216492242,0.24382506843705268,0.0715179553061207,23.501781243393722,25.172298682965653,1.5607824119094733,27068.58668104463,36.20432834368358,0.2365103163839411,0.25113982049016426
TX-00029,Manual,1997.2840597405448,0.31715574072822156,0.05087368365275169,24.22992474054886,24.348574808341084,1.5581817508576168,20809.965428485495,47.09282210812987,0.3076410685063749,0.3266704129500682
TX-00032,Manual,9740.339390548066,0.23985845159684568,0.07951242719414683,19.39405555311331,12.476582293141027,1.3203153570264339,30017.70399194341,59.964612899211424,0.2326626980489403,0.24705420514475107
TX-00035,Manual,3146.689461527004,0.23057345874458382,0.06302841464689225,17.26405979209838,17.15734749394294,1.5144562765407408,27756.880756555576,30.98330851880345,0.2236562549822463,0.23749066250692133
